,index,shannon,vowels,numbers,dots,length,symbols,f_slash,d_d,d_a,d_s,a_d,a_a,a_s,s_d,s_a,s_s,class
8606,9417,4.0,15,6,1,64,3,5,5.0,0.0,1.0,0.0,42.0,7.0,1.0,7.0,0.0,0
8607,1764,3.0,7,0,1,20,2,1,0.0,0.0,0.0,0.0,16.0,2.0,0.0,1.0,0.0,0
8608,4552,4.0,9,7,2,47,3,3,6.0,0.0,1.0,0.0,28.0,5.0,1.0,5.0,0.0,0
8609,607,4.0,14,23,1,87,3,12,13.0,6.0,3.0,6.0,35.0,9.0,4.0,8.0,2.0,0
8610,15443,4.0,4,11,4,41,3,5,6.0,0.0,5.0,1.0,15.0,3.0,4.0,4.0,2.0,1
8611,15891,3.0,4,11,4,38,3,4,7.0,0.0,4.0,0.0,14.0,3.0,4.0,3.0,2.0,1
8612,16721,3.0,13,0,4,43,2,2,0.0,0.0,0.0,0.0,30.0,6.0,0.0,6.0,0.0,1
8613,3217,4.0,30,8,2,109,4,3,7.0,0.0,1.0,0.0,69.0,15.0,1.0,15.0,0.0,0
8614,5737,4.0,24,12,1,98,3,3,10.0,0.0,1.0,0.0,59.0,13.0,2.0,12.0,0.0,0
8615,8479,4.0,7,4,1,29,4,1,3.0,0.0,0.0,0.0,18.0,3.0,1.0,2.0,1.0,0
8616,2053,4.0,9,0,1,35,3,2,0.0,0.0,0.0,0.0,24.0,5.0,0.0,5.0,0.0,0
8617,11158,4.0,28,4,3,99,7,6,3.0,0.0,1.0,0.0,67.0,12.0,1.0,12.0,2.0,1
8618,3164,4.0,26,5,1,98,5,3,4.0,0.0,0.0,1.0,62.0,14.0,0.0,14.0,2.0,0
8619,3075,4.0,12,8,1,48,3,3,6.0,1.0,0.0,2.0,24.0,7.0,0.0,7.0,0.0,0
8620,6763,4.0,21,28,3,123,8,4,22.0,0.0,6.0,0.0,56.0,15.0,6.0,15.0,2.0,0
